"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"Phactum Softwareentwicklung GmbH","Mag.(FH) Peter Queteschiner","+43 1 890 22 20","Kelsenstraße 5/11","1030","Wien","Softwareentwicklung","","Recherche","Firmenwebsite/WKO/Herold","2026-08-08","https://phactum.at","","","","",""
"Koschier Software-Entwicklung GmbH","Anton Koschier, Ralf Hartmann","+43 1 39 11 100","Geblergasse 95/12","1170","Wien","Softwareentwicklung (FileMaker)","","Recherche","Firmenwebsite/WKO/Herold","2026-08-08","https://www.koschier-software.at","","","","",""
"Docufy Vienna GmbH (vormals door2solution software GmbH)","Nadine Annelie Prill, Anna-Lisa Rabl","+43 1 997 113 300","Döblinger Hauptstraße 7/73","1190","Wien","Softwareentwicklung","","Recherche","WKO/firmenabc.at","2026-08-08","https://door2solution.com","","","","",""
"OBJENTIS Software Integration GmbH","DI Roland Tscheinig","+43 1 585 68 00","Mariahilfer Straße 3","1060","Wien","Softwareentwicklung / Software-QS","","Recherche","Firmenwebsite/WKO/Herold","2026-08-08","https://objentis.com","","","","",""
"ETRON Softwareentwicklungs- und Vertriebs GmbH","Markus Zoglauer","+43 1 904 21 09","Pottendorfer Straße 23-25/2/3B","1120","Wien","Softwareentwicklung (Kassensysteme)","","Recherche","Firmenwebsite/WKO","2026-08-08","https://www.etron.at","","","","",""
"dvo Software Entwicklungs- und Vertriebs-GmbH","Dr. Rainer Haude, Mag. Richard Theiß","+43 1 544 69 79-0","Nestroyplatz 1","1020","Wien","Softwareentwicklung (Kanzleisoftware)","","Recherche","Firmenwebsite/WKO/Herold","2026-08-08","https://www.dvo.at","","","","",""
"Industrie-Software Entwicklung GmbH","DI Robert Mikler","+43 1 280 86 08","Mühlwasserstraße 34","1220","Wien","Softwareentwicklung (Automatisierung)","","Recherche","Firmenwebsite/WKO","2026-08-08","https://www.ise-gmbh.com","","","","",""
"A.S.E. Ebner & Partner GmbH","Dr. Wolfgang Ebner, MBA; Benjamin Dönz","+43 1 259 03 28","Obachgasse 10","1220","Wien","Softwareentwicklung / Systemhaus","","Recherche","Firmenwebsite/WKO","2026-08-08","https://www.ase-edv.eu","","","","",""
"CSS Computer-Systems-Support GmbH","Harald Deitzer MSc, DI(FH) Franz Pikal, DI(FH) Sven Schweiger, Rainer Wickenhauser MSc","+43 1 712 18 21","Landstraßer Hauptstraße 167","1030","Wien","Softwareentwicklung / IT-Consulting","","Recherche","Firmenwebsite/WKO/Herold","2026-08-08","https://www.cssteam.at","","","","",""
"Eins-A Systemhaus GmbH","","+43 1 3439512","Modecenterstraße 22 (MGC Office Park)","1030","Wien","IT-Systemhaus","1-9","Recherche","WKO firmen.wko.at","2026-08-08","https://eins-a.at","","","","",""
