"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website"
"Software GmbH Österreich","Cédric Ros (Josef Utz gewerberechtlicher GF)","+43 1 329500","Hegelgasse 13","1010","Wien","IT-Dienstleistung / Softwareentwicklung","","Recherche","Herold / Firmenbuch (FN 51421w)","2026-08-23",""
"VIVO IT Beratung und Dienstleistungs GmbH","Mag. Thomas Rathammer","+43 1 240 90 30-0","Rathausstraße 11/2. OG","1010","Wien","IT-Beratung / Softwarelösungen","","Recherche","Firmenwebsite, Herold","2026-08-23","https://www.vivo-it.com"
"Webmozarts GmbH","Bernhard Schussek","+43 1 8906111","Rotenturmstraße 27/2","1010","Wien","Software- und App-Entwicklung","1-9","Recherche","Firmenwebsite, WKO","2026-08-23","https://webmozarts.com"
"IT@WORK GmbH","","+43 1 89 00 838 10","Degengasse 70/3/1B","1160","Wien","IT-Dienstleistungen / IT-Beratung","","Recherche","Firmenwebsite Impressum, firmeninfo.at","2026-08-23","http://it-work.at"
"AngelStone Media GmbH","Christoph Angel, Georg Steiner","+43 664 23 89 080","Wipplingerstraße 29/5","1010","Wien","Software, KI & Webdesign","","Recherche","Firmenwebsite Impressum (FN 465367p)","2026-08-23","https://www.angelstone.at"
"CONCEDIS Digitalagentur GmbH","Ronald Kiss","+43 1 997 43 81","Schönbrunner Straße 120","1050","Wien","Digitalagentur / Webentwicklung","","Recherche","Firmenwebsite Impressum, WKO (FN 450587d)","2026-08-23","https://www.concedis.net"
"IMPIT GmbH","Robert Walcher, Werner Wagner","+43 1 3630 330","Talpagasse 1a","1230","Wien","IT-Beratung & Consulting Services für KMU/NPO","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://www.impit.at"
"ITSM Partner Consulting GmbH","Richard Friedl","+43 699 18 88 99 22","Engerthstraße 90","1200","Wien","IT-Consulting (ITSM/IT Service Management)","","Recherche","Firmenwebsite Impressum (FN 261140f)","2026-08-23","https://www.itsmpartner.at"
"Axtesys Digitalisierungsberatung GmbH","Lorenz Moser, Paul Klima","+43 660 1992870","Otto-Bauer-Gasse 3/13","1060","Wien","Digitalisierungsberatung / Softwareentwicklung","","Recherche","Firmenwebsite Impressum, WKO (FN 619573m)","2026-08-23","https://www.axdibe.at"
"SOFTCOM CONSULTING GmbH","Mag. Thomas Rathammer, Mag. Gerald Stockinger, Dipl.Ing. Gerhard Burziwal, Markus Caletka","+43 1 815 79 30","Marc-Aurel-Straße 10-12/1. OG","1010","Wien","IT-Consulting / Softwareentwicklung","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 105965g)","2026-08-23","https://softcom.digital"
"Novarion Systems GmbH","Georg Gesek","+43 1 5441159-0","Kranichberggasse 6","1120","Wien","IT-Infrastruktur / Server- und Rechenzentrumslösungen","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","http://www.novarion.com"
"intelli.solution EDV-Dienstleistung GmbH","","+43 1 897 4040 0","Thürnlhofstraße 9/1/4","1110","Wien","IT-Dienstleistung / Systemhaus","","Recherche","Herold, WKO, Firmenwebsite","2026-08-23","https://www.intellisolution.at"
"Build-it IT-Infrastruktur und Baulösungen GmbH","Ewald Weißkircher","+43 1 4191317","Richard-Neutra-Gasse 10","1210","Wien","IT-Infrastruktur (Rechenzentrumsbau/-ausstattung)","","Recherche","WKO Firmen A-Z, Herold","2026-08-23","https://www.buildit.at"
"IT-Kommunal GmbH","Dr. Ronald Sallmann","+43 1 89 00 919","Nordbergstraße 6/9","1090","Wien","IT-Dienstleistung / Digitalisierung","","Recherche","WKO Firmen A-Z (FN 295183v)","2026-08-23","http://www.it-kommunal.at"
"RUBICON IT GmbH","Ing. Peter Grassnigg, MSc","+43 1 5332555-0","Gonzagagasse 16","1010","Wien","IT-Dienstleistung / Managed Services","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 615231b)","2026-08-23","https://www.rubicon.eu"
"ristl.IT GmbH","Florian Ristl","+43 1 934 69 82-0","Salztorgasse 7/16","1010","Wien","Managed Service Provider (B2B IT-Betreuung)","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.ristl.it"
"EDV WRUHS IT Dienstleistungen GmbH","Andreas Wruhs","+43 1 5220434","Lenaugasse 9","1080","Wien","IT-Dienstleistung / IT Service Provider","","Recherche","WKO Firmen A-Z, Firmenbuch (FN 252435d)","2026-08-23","https://www.edv.wruhs.at"
"Comm-IT EDV DienstleistungsgmbH","Dennis Wagner","+43 1 205 210","Adamsgasse 1/20","1030","Wien","IT- und Telekommunikationsdienstleistungen","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 342433d)","2026-08-23","https://comm-it.at"
"B-IT Consulting GmbH","Lukas Zügner","+43 1 7291071 0","Handelskai 388/552","1020","Wien","IT-Dienstleistung / IT-Consulting","21-49","Recherche","WKO Firmen A-Z (FN 248854m), Firmenwebsite","2026-08-23","https://b-it.com"
"CLOUDPILOTS Austria GmbH","Bernhard Fieglmüller","+43 1 2530349","Canettistraße 5","1100","Wien","Cloud-Beratung (Google Cloud Premier Partner)","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://www.cloudpilots.com"
"Securitects - Cyber Security Services GmbH","DDI Herbert Brunner, CISA","+43 1 717 28 979","Gertrude-Fröhlich-Sandner-Straße 3","1100","Wien","IT-Security / Cybersecurity","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.securitects.com"
"nokru.net Cybersecurity GmbH","Ing. Lukas Waldenberger, MSc MSc","+43 664 4666259","Rissaweggasse 2/88","1100","Wien","Cybersecurity / Sicherheitsarchitektur","","Recherche","Firmenwebsite Imprint, Herold, WKO","2026-08-23","https://nokru.net"
"WhizUs GmbH","Erik Johann Auer","+43 660 6649924","Kirchenplatz 6, Stiege 3, Tür 2","1230","Wien","DevOps- und Kubernetes-Consulting / Cloud Native","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.whizus.com"
"Cloudwerkstatt GmbH","Ing. Markus Plank, Cristian Todea","+43 1 9466033","Reisnerstraße 13/6","1030","Wien","Cloud-Services / IT-Betreuung","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.cloudwerkstatt.com"
"CertMe GmbH","Eduard Senn","+43 1 2660140","Heiligenstädter Lände 29/DG","1190","Wien","IT-Security / Informationssicherheit (ISO27001, NIS2)","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://certme.at"
"net-cloud GmbH","Wolfgang Peschta","+43 1 3308836","Ignaz-Köck-Straße 1/2.OG","1210","Wien","Cloud-Services / Hosting / VoIP","","Recherche","Herold, WKO, Firmenwebsite","2026-08-23","https://www.net-cloud.at"
"Auvaria Group GmbH","Andreas Tschauner, BSc; Dipl.-Ing. Daniel Linhart","+43 664 1267783","Viktorgasse 14/2/1","1040","Wien","Cloud-Beratung / AWS Advisory, Consulting & Engineering","","Recherche","Firmenwebsite Impressum, Herold, WKO","2026-08-23","https://www.auvaria.com"
"SQUER Solutions GmbH","Manuel Klein","+43 676 849963203","Althanstraße 4/3/63","1090","Wien","Cloud/DevOps/Kubernetes-Beratung (AWS Selected Tier Partner)","","Recherche","Firmenwebsite, firmeninfo.at, WKO","2026-08-23","https://www.squer.io"
"CIS - Certification & Information Security Services GmbH","Klaus Veselko","+43 1 5329890-0","Salztorgasse 2/6/14","1010","Wien","IT-Security / Informationssicherheits-Zertifizierung","","Recherche","firmeninfo.at, firmenabc.at, Firmenwebsite","2026-08-23","https://www.cis-cert.com"
"IT FINANCE CONSULTING GmbH","Paul Lubusch, Andreas Kiss, Claus Hoffmann","+43 1 5045050","Operngasse 6/Top 4","1010","Wien","IT-Consulting (Finance-/Leasing-IT)","","Recherche","Herold, Firmenwebsite Impressum","2026-08-23","https://itfc.at"
"ITech Consulting GmbH","","0676 5344204","Graf-Starhemberg-Gasse 7/23","1040","Wien","IT-Consulting","","Recherche","Herold, Firmenwebsite Impressum","2026-08-23","https://itech.co.at"
"hartwig IT Consulting GmbH","Christian Hartwig","+43 1 715 70 01-11","Strohgasse 13","1030","Wien","IT-Consulting","","Recherche","Firmenabc, Firmenwebsite","2026-08-23","https://hartwig.at"
"NAVAX Consulting GmbH","Oliver Krizek, Dr. Björn Heppner","+43 50 83 83 0","Technologiestraße 8 (Euro Plaza)","1120","Wien","ERP/CRM-Beratung (Microsoft Dynamics)","","Recherche","Herold, Firmenwebsite","2026-08-23","https://navax.com"
"LOGIN EDV-Software, Beratung und Training GmbH","Michael Ruzek","01 5865897 0","Emil Fucik-Gasse 1, Top 2-11","1100","Wien","IT-Schulung / IT-Beratung","","Recherche","Firmenabc, Herold","2026-08-23","https://login-software.net"
"KOMMA99 GmbH","Marcus Kemethofer, Nico Hinger, BA MSc","+43 660 774 5874","Rohrweihenweg 36","1220","Wien","Digitalagentur / Online-Marketing","","Recherche","Firmenbuch (FN 635041i)","2026-08-23","https://komma99.at"
"Symbionis Software, Skills & Technologies GmbH","Gabriela Hillebrand","+43 1 7866496","Liechtensteinstraße 95/Top 17","1090","Wien","IT-Consulting / Softwareentwicklung","","Recherche","Firmenbuch (FN 283539w), Firmenwebsite","2026-08-23","https://symbionis.at"
"IT Beratungs- und Wirtschaftsprüfungsgesellschaft mbH","Mag. Bernhard Rothenbuchner, Mag. Martin Seidl","+43 1 503 58 70","Schwindgasse 4/7","1040","Wien","IT-Consulting / IT-Prüfung","","Recherche","Firmenwebsite Impressum","2026-08-23","https://it-pruefung.co.at"
"the update training GmbH","","+43 1 90633","Shuttleworthstraße 14","1210","Wien","IT-Schulung","","Recherche","Firmenwebsite Impressum","2026-08-23","https://updatetraining.at"
"Finmatics GmbH","Mag. Christoph Prieler, Dr. Markus Gremmel","+43 1 9974163","Lindengasse 41","1070","Wien","Fintech-Software (KI-Buchhaltungsautomatisierung)","","Recherche","WKO Firmen A-Z, firmenabc.at, Firmenwebsite","2026-08-23","https://www.finmatics.com"
"Riddle & Code GmbH","Kai Siefert, MBA; John Olaf Calian","+43 1 2057740039","Gertrude-Fröhlich-Sandner-Straße 2-4/Tower 9","1100","Wien","IoT/Blockchain-Software","","Recherche","firmenabc.at, Northdata, Firmenwebsite","2026-08-23","https://riddleandcode.com"
"byrd technologies GmbH","","+43 720 231220","Wiedner Hauptstraße 24/12a","1040","Wien","Logistik-SaaS (E-Commerce-Fulfillment-Software)","","Recherche","Herold, WKO Firmen A-Z","2026-08-23","https://www.getbyrd.com"
"UBIMET GmbH","Dr. Michael Fassnauer","+43 1 263 11 22 0","Donau-City-Straße 11","1220","Wien","Wetterdaten- und Analytics-Software","","Recherche","WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://www.ubimet.com"
"FoodNotify GmbH","Mag. Thomas Primus","+43 1 2672404","Stella-Klein-Löw-Weg 8","1020","Wien","Gastronomie-SaaS-Software (F&B-Management)","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite","2026-08-23","https://www.foodnotify.com"
"Chatlyn GmbH","","+43 676 5607776","Renngasse 4/R4-4","1010","Wien","KI-SaaS für Hospitality (Kommunikationsplattform)","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://chatlyn.com"
"Ares Genetics GmbH","","+43 1 361 888 030","Karl-Farkas-Gasse 18","1030","Wien","KI-gestützte Genomanalyse/Diagnostik-Software","","Recherche","AdvantageAustria, Life Sciences Directory Austria","2026-08-23","https://www.ares-genetics.com"
"EnliteAI GmbH","Johannes Stumtner, MA; Clemens Wasner","+43 664 3451470","Wollzeile 24","1010","Wien","AI/ML-Software (Reinforcement Learning)","","Recherche","WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://enlite.ai"
"Broken Rules, Interactive Media GmbH","Felix Bohatsch, BSc MA","+43 1 4420114","Museumsplatz 1/1/2","1070","Wien","Gaming/Software-Studio","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite","2026-08-23","https://brokenrul.es"
"Latido Health Tech GmbH","Stefan Speiser","+43 1 9969119","Schreyvogelgasse 2","1010","Wien","Healthtech-Software (Praxissoftware für Wahlärzte)","","Recherche","Firmenwebsite Impressum, firmenabc.at","2026-08-23","https://latido.at"
"vipaso GmbH","","+43 1 3090710","Leonard-Bernstein-Straße 10/16","1220","Wien","Fintech-Software (Mobile-Payment-Lösung)","","Recherche","WKO Firmen A-Z, Herold","2026-08-23","https://vipaso.io"
"fonio GmbH","Daniel Keinrath, Matthias Gruber","+43 660 6029543","Neustiftgasse 73/Stiege 3/7","1070","Wien","AI/ML-Software (KI-Telefonassistenten)","","Recherche","Herold, WKO Firmen A-Z","2026-08-23","https://www.fonio.ai"
